date,daily_rainfall_total,mean_temperature,maximum_temperature,minimum_temperature,mean_wind_speed,max_wind_speed,temperature_range
2009-01-24,0.0,26.8,31.4,24.4,11.7,38.2,7.0
2009-01-25,0.8,25.9,27.8,24.4,12.7,38.2,3.400000000000002
2009-01-26,0.0,25.9,29.6,23.7,12.4,42.5,5.900000000000002
2009-01-27,0.0,26.25,30.2,23.7,10.4,38.9,6.5
2009-01-28,0.0,26.6,31.9,23.7,10.3,32.4,8.2
2009-01-29,0.0,26.3,30.0,23.9,11.3,33.5,6.100000000000001
2009-01-30,0.0,26.5,30.9,24.2,9.6,31.3,6.699999999999999
2009-01-31,0.0,26.4,29.9,24.8,11.4,41.8,5.099999999999998
2009-02-01,0.0,26.2,29.1,24.7,13.3,41.4,4.400000000000002
2009-02-02,0.0,26.7,31.0,23.8,9.9,40.7,7.199999999999999
2009-02-03,0.0,26.2,30.4,23.5,10.7,31.7,6.899999999999999
2009-02-04,2.8,26.1,30.4,23.9,8.8,41.4,6.5
2009-02-05,0.0,26.2,30.0,23.9,11.0,33.5,6.100000000000001
2009-02-06,0.0,26.3,30.4,23.7,11.6,35.3,6.699999999999999
2009-02-07,0.0,26.0,30.4,23.6,11.1,35.3,6.799999999999997
2009-02-08,0.0,26.8,31.9,23.8,11.3,32.0,8.099999999999998
2009-02-09,0.0,26.8,31.8,23.7,13.4,38.2,8.100000000000001
2009-02-10,0.0,27.1,32.0,24.0,10.8,28.1,8.0
2009-02-11,21.6,26.4,32.0,24.4,8.6,30.2,7.600000000000001
2009-02-12,0.2,27.1,32.0,24.7,6.5,31.0,7.300000000000001
2009-02-13,0.0,28.0,33.0,25.4,9.0,29.2,7.600000000000001
2009-02-14,0.0,27.8,31.9,24.9,8.1,32.4,7.0
2009-02-15,0.0,28.6,32.6,25.5,8.5,40.3,7.100000000000001
2009-02-16,22.0,27.4,33.4,26.0,8.3,38.2,7.399999999999999
2009-02-17,0.0,27.8,32.1,25.1,12.0,38.2,7.0
2009-02-18,0.0,27.4,32.4,24.6,12.2,40.0,7.799999999999997
2009-02-19,0.0,27.3,32.1,24.4,12.9,39.6,7.700000000000003
2009-02-20,0.0,27.4,32.1,24.5,11.5,36.7,7.600000000000001
2009-02-21,0.4,26.9,31.6,25.2,8.6,34.9,6.400000000000002
2009-02-22,14.6,26.1,31.7,23.1,8.5,41.4,8.599999999999998
2009-02-23,28.8,25.9,30.9,23.4,6.9,47.5,7.5
2009-02-24,7.8,25.0,27.8,23.4,6.9,29.9,4.400000000000002
2009-02-25,39.4,26.3,32.6,23.0,6.3,42.8,9.600000000000001
2009-02-26,2.0,26.0,30.6,24.2,6.6,27.4,6.400000000000002
2009-02-27,0.0,26.9,31.1,24.7,7.6,26.3,6.400000000000002
2009-02-28,8.4,26.8,33.1,24.2,6.9,40.0,8.900000000000002
2009-03-01,9.2,26.6,32.1,24.1,7.5,38.5,8.0
2009-03-02,41.2,27.0,32.9,23.9,7.4,30.2,9.0
2009-03-03,2.6,25.2,27.3,22.2,7.8,47.5,5.100000000000001
2009-03-04,10.2,27.2,34.1,24.0,6.9,36.4,10.100000000000001
2009-03-05,21.6,27.1,31.9,23.5,8.0,44.6,8.399999999999999
2009-03-06,0.0,27.7,32.8,23.5,7.4,34.2,9.299999999999997
2009-03-07,1.8,27.2,32.2,25.6,5.9,36.7,6.600000000000001
2009-03-08,0.0,27.9,33.6,24.6,7.9,31.0,9.0
2009-03-09,142.0,24.8,28.4,22.9,9.6,35.3,5.5
2009-03-10,0.0,27.0,32.2,22.7,6.5,32.0,9.500000000000004
2009-03-11,3.8,26.6,31.2,25.0,6.2,37.4,6.199999999999999
2009-03-12,1.4,27.5,34.0,24.4,7.2,31.7,9.600000000000001
2009-03-13,0.8,26.3,30.5,25.1,7.5,40.7,5.399999999999999
2009-03-14,20.4,26.1,33.6,23.9,7.4,40.0,9.700000000000003
2009-03-15,2.8,25.8,31.6,23.7,6.6,31.3,7.900000000000002
2009-03-16,5.2,25.5,28.6,24.2,5.2,25.9,4.400000000000002
2009-03-17,1.6,27.3,33.2,24.0,6.5,26.3,9.200000000000003
2009-03-18,6.0,28.1,33.5,23.3,9.4,51.5,10.2
2009-03-19,0.2,27.566666666666666,33.1,23.2,7.7,44.6,9.900000000000002
2009-03-20,6.500000000000001,27.033333333333335,32.85,23.4,6.9,29.2,9.450000000000003
2009-03-21,12.8,26.5,32.6,23.6,6.6,38.2,9.0
2009-03-22,0.0,26.2,30.4,23.1,6.3,41.4,7.299999999999997
2009-03-23,0.0,28.0,33.4,24.5,7.7,28.1,8.899999999999999
2009-03-24,7.0,26.3,29.1,23.2,7.3,55.8,5.900000000000002
2009-03-25,20.6,27.2,34.5,24.6,5.7,36.4,9.899999999999999
2009-03-26,6.8,27.6,33.4,24.9,6.1,32.8,8.5
2009-03-27,0.2,28.4,33.5,25.4,5.7,24.8,8.100000000000001
2009-03-28,0.0,27.7,31.5,25.0,7.6,31.3,6.5
2009-03-29,29.6,26.9,33.9,22.7,7.3,36.7,11.2
2009-03-30,0.2,27.1,31.6,24.7,8.6,28.8,6.900000000000002
2009-03-31,0.0,27.7,32.1,25.1,6.1,26.6,7.0
2009-04-01,0.0,28.1,32.6,25.1,8.3,32.4,7.5
2009-04-02,0.0,28.6,33.1,25.8,8.3,33.8,7.300000000000001
2009-04-03,0.0,28.7,33.2,25.8,10.1,31.3,7.400000000000002
2009-04-04,0.6,28.6,32.1,26.1,8.8,32.0,6.0
2009-04-05,15.2,26.4,30.8,24.7,5.7,38.5,6.100000000000001
2009-04-06,1.2,26.8,31.3,25.0,5.4,34.6,6.300000000000001
2009-04-07,0.0,27.3,30.9,24.9,4.5,19.4,6.0
2009-04-08,0.2,28.6,32.0,25.1,9.4,34.6,6.899999999999999
2009-04-09,0.2,27.6,30.9,26.1,8.0,32.0,4.799999999999997
2009-04-10,33.4,26.7,32.2,23.9,6.4,37.1,8.300000000000004
2009-04-11,16.0,26.7,34.1,24.3,5.4,33.5,9.8
2009-04-12,8.0,26.2,28.3,23.9,6.0,25.2,4.400000000000002
2009-04-13,0.0,27.0,32.4,23.7,5.6,37.8,8.7
2009-04-14,0.0,28.9,34.4,25.3,6.0,27.4,9.099999999999998
2009-04-15,21.2,27.5,29.2,24.1,8.2,39.2,5.099999999999998
2009-04-16,0.0,27.7,29.8,25.8,5.5,25.9,4.0
2009-04-17,0.0,29.5,34.6,25.8,6.1,24.1,8.8
2009-04-18,0.0,29.9,35.1,26.4,6.8,27.0,8.700000000000003
2009-04-19,0.0,29.1,34.2,25.8,6.5,27.4,8.400000000000002
2009-04-20,10.8,28.1,30.5,25.5,9.3,36.0,5.0
2009-04-21,0.0,28.5,32.2,24.5,10.3,41.4,7.700000000000003
2009-04-22,6.6,29.5,32.6,24.3,12.1,77.8,8.3
2009-04-23,0.0,29.0,33.2,23.9,11.2,43.6,9.300000000000004
2009-04-24,0.0,29.5,32.6,26.3,10.4,38.2,6.300000000000001
2009-04-25,0.0,30.1,33.2,27.7,6.3,32.0,5.5000000000000036
2009-04-26,5.8,27.6,33.0,23.8,6.6,52.9,9.2
2009-04-27,0.0,29.4,34.7,25.2,4.9,23.4,9.500000000000004
2009-04-28,16.8,26.7,30.3,24.8,6.1,40.3,5.5
2009-04-29,1.0,28.3,33.4,24.7,5.3,41.0,8.7
2009-04-30,11.8,27.0,29.0,23.7,7.4,32.8,5.300000000000001
2009-05-01,0.0,28.7,33.5,25.8,7.4,28.4,7.699999999999999
2009-05-02,15.8,28.3,31.2,26.1,9.3,32.8,5.099999999999998
2009-05-03,3.6,28.1,31.2,23.0,12.1,62.6,8.2
2009-05-04,2.2,27.6,29.9,25.1,10.0,37.8,4.799999999999997
2009-05-05,16.8,29.0,31.8,26.2,8.1,34.2,5.600000000000001
2009-05-06,1.2,28.0,31.0,21.8,9.7,59.8,9.2
2009-05-07,0.0,29.2,32.7,25.0,9.3,37.1,7.700000000000003
2009-05-08,5.6,29.1,32.5,24.8,6.1,33.8,7.699999999999999
2009-05-09,0.2,28.2,31.5,24.2,8.7,47.5,7.300000000000001
2009-05-10,2.8,28.8,32.8,26.0,6.0,29.5,6.799999999999997
2009-05-11,0.0,27.1,32.5,24.9,6.3,27.4,7.600000000000001
2009-05-12,0.0,28.2,31.1,25.0,6.8,25.9,6.100000000000001
2009-05-13,1.2,29.0,32.9,26.2,9.6,32.0,6.699999999999999
2009-05-14,0.2,28.5,32.3,24.5,7.7,36.0,7.799999999999997
2009-05-15,39.6,27.8,34.0,24.1,5.6,34.2,9.899999999999999
2009-05-16,0.2,27.6,33.7,25.7,5.5,34.2,8.000000000000004
2009-05-17,0.0,29.0,33.6,25.0,6.8,25.6,8.600000000000001
2009-05-18,2.0,26.5,29.5,24.5,5.5,35.6,5.0
2009-05-19,0.0,28.8,33.6,25.3,5.7,23.0,8.3
2009-05-20,0.0,29.5,33.4,26.3,6.8,25.2,7.099999999999998
2009-05-21,62.8,28.5,33.1,24.3,7.2,45.4,8.8
2009-05-22,0.0,29.5,34.2,25.2,5.6,27.7,9.000000000000004
2009-05-23,25.6,27.8,32.7,24.1,7.4,38.2,8.600000000000001
